Imagem na planilha (antes),Novo nome (depois)
balinha.jpg,balinha.webp
dinnerlady20k.PNG,dinnerlady20k.webp
dinnerlady50k.png,dinnerlady50k.webp
dinnerlady60k.png,dinnerlady60k.webp
elfbar15k.png,elfbar15k.webp
elfbar18k.png,elfbar18k.webp
elfbar23k.jpeg,elfbar23k.webp
elfbar30k.png,elfbar30k.webp
elfbar33k.png,elfbar33k.webp
elfbar40k.jpg,elfbar40k.webp
elfbar40k2.jpg,elfbar40k2.webp
elfbar45k.png,elfbar45k.webp
elfbarclickkit.jpeg,elfbarclickkit.webp
elfbarclickrefil.jpg,elfbarclickrefil.webp
elfbarclickrefil16k.jpg,elfbarclickrefil16k.webp
elfbarduke.webp,elfbarduke.webp
elfbarkit25k.png,elfbarkit25k.webp
elfbarrefil25k.png,elfbarrefil25k.webp
geekbar25k.jpg,geekbar25k.webp
hqd5k.png,hqd5k.webp
hqdkit.jpg,hqdkit.webp
hqdrefil.png,hqdrefil.webp
hqdrefilgelo.png,hqdrefilgelo.webp
ignite12k.png,ignite12k.webp
ignite25k.png,ignite25k.webp
ignite30k.png,ignite30k.webp
ignite40kk.jpg,ignite40kk.webp
ignite8k.png,ignite8k.webp
ignitefrozen.jpg,ignitefrozen.webp
ignitekit.png,ignitekit.webp
ignitemix.png,ignitemix.webp
igniterefil.png,igniterefil.webp
igniteshisha.jpg,igniteshisha.webp
ignitev155.png,ignitev155.webp
ignitev500.png,ignitev500.webp
ignitev55.jpg,ignitev55.webp
kitlifepod8k.jpg,kitlifepod8k.webp
lifepod40k.png,lifepod40k.webp
lifepodkit.png,lifepodkit.webp
lifepodsquonk.png,lifepodsquonk.webp
lostbulz45k.png,lostbulz45k.webp
lostmary20k.png,lostmary20k.webp
lostmary30k.jpg,lostmary30k.webp
lostmary35k.jpg,lostmary35k.webp
lostmarydura.png,lostmarydura.webp
madman100ml.jpg,madman100ml.webp
magna20mg.jpeg,magna20mg.webp
magna50mg.png,magna50mg.webp
maskking20mg.png,maskking20mg.webp
maskking35mg.png,maskking35mg.webp
maskking40k.png,maskking40k.webp
maskking50mg.png,maskking50mg.webp
maskkingflavorx.webp,maskkingflavorx.webp
mrfreeze100ml.png,mrfreeze100ml.webp
mrfreeze35mg.jpg,mrfreeze35mg.webp
mrfreeze50mg.jpg,mrfreeze50mg.webp
nevux.webp,nevux.webp
nikbar10k.png,nikbar10k.webp
nikbar30k.png,nikbar30k.webp
oxbar30k.jpg,oxbar30k.webp
oxbar35k.jpg,oxbar35k.webp
oxbarrefil.png,oxbarrefil.webp
refilchillybeats.png,refilchillybeats.webp
refillifepod.jpg,refillifepod.webp
refillifepod8k.jpg,refillifepod8k.webp
sexaddict28k.png,sexaddict28k.webp
spaceman20k.jpg,spaceman20k.webp
tbs20k.jpg,tbs20k.webp
tbs30k.png,tbs30k.webp
tbs40k.png,tbs40k.webp
vaporesso40k.png,vaporesso40k.webp
waka25k.jpg,waka25k.webp
waka33k.webp,waka33k.webp
waka36k.jpg,waka36k.webp
waka50k.jpg,waka50k.webp
waka70k.png,waka70k.webp
wakafasta.webp,wakafasta.webp
